"","date","value","year","month","day","next_day","X","Max_temp","Avg_temp","Min_temp","Max_dew","Avg_dew","Min_dew","Max__humidity","Avg__humidity","Min__humidity","Max_wind","Avg_wind","Min_wind","Max_pressure","Avg_pressure","Min_pressure","Total_percipitation"
"1",2016-04-09,2,2016,4,9,4,69,57,54.5,54,54,53.3,52,100,95.3,82,10,7.1,3,29.3,29.3,29.2,0
"2",2016-04-10,4,2016,4,10,1,70,54,51.3,48,52,47.5,46,100,88.7,77,16,10.3,6,29.5,29.4,29.3,0
"3",2016-04-11,1,2016,4,11,15,71,63,54.5,48,48,45.3,43,88,72.5,55,14,9.4,5,29.6,29.5,29.5,0
"4",2016-04-12,15,2016,4,12,8,72,75,61,45,48,44.6,41,93,58.9,31,12,6.4,2,29.6,29.6,29.5,0
"5",2016-04-13,8,2016,4,13,5,73,77,64.7,54,55,47.5,43,77,55.7,32,9,5.5,1,29.5,29.5,29.3,0
"6",2016-04-15,5,2016,4,15,43,75,68,56.1,46,52,45,41,100,69.2,37,17,10,3,29.7,29.6,29.5,0
"7",2016-04-16,43,2016,4,16,28,76,81,66.3,50,52,42.9,34,82,46.7,21,14,8,3,29.6,29.6,29.5,0
"8",2016-04-17,28,2016,4,17,19,77,84,69.8,50,55,45.1,36,72,42.8,25,14,6.8,0,29.6,29.6,29.5,0
"9",2016-04-18,19,2016,4,18,8,78,81,69.2,54,52,48.8,43,77,50.3,26,10,5.5,1,29.6,29.6,29.6,0
"10",2016-04-19,8,2016,4,19,28,79,66,59,50,54,49.8,43,100,72.4,52,21,11.5,3,29.7,29.6,29.6,0
"11",2016-04-20,28,2016,4,20,3,80,63,52.4,43,48,37.3,28,94,60.4,29,18,13.7,5,30,29.9,29.7,0
"12",2016-04-21,3,2016,4,21,28,81,64,52.4,41,39,34.2,30,81,53.6,28,8,4.3,1,30,29.9,29.8,0
"13",2016-04-22,28,2016,4,22,4,82,70,57.6,39,46,38.6,32,76,51,34,7,4.6,1,29.8,29.6,29.5,0
"14",2016-04-28,4,2016,4,28,2,88,59,50.6,43,46,42.2,37,93,74.4,59,13,6,0,29.8,29.7,29.6,0
"15",2016-04-29,2,2016,4,29,2,89,54,51,48,50,48.7,46,100,93,82,12,7.8,3,29.8,29.7,29.6,0
"16",2016-05-02,2,2016,5,2,6,92,59,55.9,54,54,50.1,48,94,81.2,67,18,11.2,6,29.6,29.5,29.5,0
"17",2016-05-05,6,2016,5,5,4,95,68,55.5,46,57,50.9,46,100,85.6,59,13,8.8,2,29.7,29.7,29.7,0
"18",2016-05-06,4,2016,5,6,4,96,70,58,46,54,50.1,46,100,77.5,46,13,7.5,5,29.7,29.7,29.6,0
