"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-01-30","0.00",,"47","57","38"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-01-31","0.00",,"50","57","42"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-02-01","0.02",,"48","58","41"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-02-02","0.01",,"54","62","46"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-02-03","0.00",,"55","62","47"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-02-04","0.20",,"40","59","38"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-02-05","0.02",,"36","40","32"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-02-06","0.00",,"40","51","31"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-02-07","0.00",,"45","56","37"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-02-08","0.00",,"49","60","42"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-02-09","0.00",,"57","67","49"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-02-10","0.00",,"49","60","43"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-02-11","0.11",,"45","55","37"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-02-12","0.00",,"46","55","40"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-02-13","0.01",,"47","56","43"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-02-14","0.15",,"55","68","41"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-02-15","0.00",,"58","70","53"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-02-16","0.29",,"49","53","46"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-02-17","0.00",,"51","59","46"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-02-18","0.00",,"48","53","45"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-02-19","0.13",,"45","51","43"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-02-20","0.04",,"43","48","41"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-02-21","0.00",,"47","54","39"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-02-22","0.01",,"56","70","43"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-02-23","0.00",,"57","62","54"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-02-24","0.17",,"45","55","40"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-02-25","0.00",,"43","53","35"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-02-26","0.11",,"41","48","39"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-02-27","0.25",,"44","53","38"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-02-28","0.00",,"48","55","44"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-02-29","0.00",,"51","61","47"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-03-01","0.13",,"48","57","42"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-03-02","0.04",,"43","51","38"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-03-03","0.00",,"48","59","39"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-03-04","0.26",,"42","52","40"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-03-05","0.00",,"49","60","39"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-03-06","0.00",,"51","56","47"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-03-07","0.69",,"50","57","45"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-03-08","0.08",,"48","57","43"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-03-09","0.00",,"45","53","38"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-03-10","0.09",,"47","50","44"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-03-11","0.27",,"47","51","45"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-03-12","0.11",,"49","55","46"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-03-13","0.00",,"48","52","46"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-03-14","0.00",,"46","53","41"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-03-15","0.02",,"42","51","35"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-03-16","0.00",,"44","52","40"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-03-17","0.00",,"44","55","35"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-03-18","0.00",,"46","57","36"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-03-19","0.00",,"48","56","40"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-03-20","0.00",,"52","61","44"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-03-21","0.00",,"53","57","49"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-03-22","0.50",,"45","53","44"
"RIE00100818","BELGRADE OBSERVATORY, RI","2016-03-23","0.68",,"41","44","40"
