"","date","Max_temp","Avg_temp","Min_temp","Max_dew","Avg_dew","Min_dew","Max__humidity","Avg__humidity","Min__humidity","Max_wind","Avg_wind","Min_wind","Max_pressure","Avg_pressure","Min_pressure","Total_percipitation"
"1",2016-02-01,57,46.7,39,50,43.5,37,100,89,77,14,6.7,2,29.9,29.8,29.6,0
"2",2016-02-02,61,49.9,36,48,44.9,36,100,84.3,59,10,4.2,0,29.9,29.8,29.7,0
"3",2016-02-03,57,51.6,43,50,46.5,43,100,83.4,67,20,6.8,0,29.7,29.6,29.5,0
"4",2016-02-04,45,39.3,32,43,36,30,100,88.3,76,18,13.1,2,29.8,29.7,29.5,0
"5",2016-02-05,39,35.1,30,36,32.2,28,93,89.1,81,14,8.2,0,30.1,29.9,29.8,0
"6",2016-02-06,50,37.9,30,30,28.1,27,93,70.9,43,12,7,3,30.1,30,29.9,0
"7",2016-02-07,57,43.1,30,34,29.4,25,86,60.8,38,14,8.9,2,29.9,29.8,29.7,0
"8",2016-02-08,61,49.3,37,37,33.3,28,70,55.2,41,15,10.5,7,29.7,29.7,29.6,0
"9",2016-02-09,64,56.2,48,43,39,36,66,53.1,40,18,9,5,29.7,29.6,29.4,0
"10",2016-02-10,59,49.2,39,43,38.6,37,100,69.2,48,36,17.1,1,29.3,29.1,28.9,0
"11",2016-02-11,54,43.4,36,36,31,21,93,65.7,30,15,6.9,1,29.5,29.4,29.3,0
"12",2016-02-12,54,45.2,34,36,32.4,27,87,62.9,35,16,10.4,3,29.5,29.4,29.2,0
"13",2016-02-13,55,46.2,37,46,39.5,36,93,77.5,62,24,14.1,3,29.2,29.1,29,0
"14",2016-02-14,66,54.5,37,46,42.6,36,93,67,37,17,10,2,29.2,29.1,29.1,0
"15",2016-02-15,68,57.8,50,57,50.5,46,100,78.2,56,25,11.1,3,29.7,29.3,29.2,0
"16",2016-02-16,50,47.8,45,48,46.2,45,100,94.6,87,12,6.5,1,30,29.9,29.7,0
"17",2016-02-17,61,51.8,45,48,44.4,41,100,78.3,55,33,17,3,30,29.9,29.7,0
"18",2016-02-18,52,48,45,43,41.1,39,87,76.9,66,26,20.1,12,29.8,29.7,29.5,0
"19",2016-02-19,50,45.4,41,46,41.8,37,100,87.2,76,22,10.7,3,29.8,29.7,29.5,0
"20",2016-02-20,48,42.1,39,37,34.9,32,93,76.6,54,12,5.2,0,29.9,29.9,29.8,0
"21",2016-02-21,54,46,37,39,34.4,32,81,65,47,15,7.3,2,29.9,29.8,29.7,0
"22",2016-02-22,68,53.7,39,46,40,36,87,61.9,35,12,4.8,0,29.7,29.6,29.6,0
"23",2016-02-23,59,54.4,46,52,46.9,39,94,76.7,62,10,5.3,0,29.6,29.5,29.4,0
"24",2016-02-24,50,43.6,36,50,36.8,30,100,78.1,57,25,10.4,0,29.7,29.6,29.4,0
"25",2016-02-25,54,44.4,30,41,33.7,28,93,68.4,50,20,10.1,5,29.7,29.6,29.4,0
